Updated at 14:28:09,,,
,,Timestamp,Close Price
,.FTSE,12/19/2013,6584.7
,.FTSE,12/20/2013,6606.58
,.FTSE,12/23/2013,6678.61
,.FTSE,12/24/2013,6694.17
,.FTSE,12/27/2013,6750.87
,.FTSE,12/30/2013,6731.27
,.FTSE,12/31/2013,6749.09
,.FTSE,1/2/2014,6717.91
,.FTSE,1/3/2014,6730.67
,.FTSE,1/6/2014,6730.73
,.FTSE,1/7/2014,6755.45
,.FTSE,1/8/2014,6721.78
,.FTSE,1/9/2014,6691.34
,.FTSE,1/10/2014,6739.94
,.FTSE,1/13/2014,6757.15
,.FTSE,1/14/2014,6766.86
,.FTSE,1/15/2014,6819.86
,.FTSE,1/16/2014,6815.42
,.FTSE,1/17/2014,6829.3
,.FTSE,1/20/2014,6836.73
,.FTSE,1/21/2014,6834.26
,.FTSE,1/22/2014,6826.33
,.FTSE,1/23/2014,6773.28
,.FTSE,1/24/2014,6663.74
,.FTSE,1/27/2014,6550.66
,.FTSE,1/28/2014,6572.33
,.FTSE,1/29/2014,6544.28
,.FTSE,1/30/2014,6538.45
,.FTSE,1/31/2014,6510.44
,.FTSE,2/3/2014,6465.66
,.FTSE,2/4/2014,6449.27
,.FTSE,2/5/2014,6457.89
,.FTSE,2/6/2014,6558.28
,.FTSE,2/7/2014,6571.68
,.FTSE,2/10/2014,6591.55
,.FTSE,2/11/2014,6672.66
,.FTSE,2/12/2014,6675.03
,.FTSE,2/13/2014,6659.42
,.FTSE,2/14/2014,6663.62
,.FTSE,2/17/2014,6736
,.FTSE,2/18/2014,6796.43
,.FTSE,2/19/2014,6796.71
,.FTSE,2/20/2014,6812.99
,.FTSE,2/21/2014,6838.06
,.FTSE,2/24/2014,6865.86
,.FTSE,2/25/2014,6830.5
,.FTSE,2/26/2014,6799.15
,.FTSE,2/27/2014,6810.27
,.FTSE,2/28/2014,6809.7
,.FTSE,3/3/2014,6708.35
,.FTSE,3/4/2014,6823.77
,.FTSE,3/5/2014,6775.42
,.FTSE,3/6/2014,6788.49
,.FTSE,3/7/2014,6712.67
,.FTSE,3/10/2014,6689.45
,.FTSE,3/11/2014,6685.52
,.FTSE,3/12/2014,6620.9
,.FTSE,3/13/2014,6553.78
,.FTSE,3/14/2014,6527.89
,.FTSE,3/17/2014,6568.35
,.FTSE,3/18/2014,6605.28
,.FTSE,3/19/2014,6573.13
,.FTSE,3/20/2014,6542.44
,.FTSE,3/21/2014,6557.17
,.FTSE,3/24/2014,6520.39
,.FTSE,3/25/2014,6604.89
,.FTSE,3/26/2014,6605.3
,.FTSE,3/27/2014,6588.32
,.FTSE,3/28/2014,6615.58
,.FTSE,3/31/2014,6598.37
,.FTSE,4/1/2014,6652.61
,.FTSE,4/2/2014,6659.04
,.FTSE,4/3/2014,6649.14
,.FTSE,4/4/2014,6695.55
,.FTSE,4/7/2014,6622.84
,.FTSE,4/8/2014,6590.69
,.FTSE,4/9/2014,6635.61
,.FTSE,4/10/2014,6641.97
,.FTSE,4/11/2014,6561.7
,.FTSE,4/14/2014,6583.76
,.FTSE,4/15/2014,6541.61
,.FTSE,4/16/2014,6584.17
,.FTSE,4/17/2014,6625.25
,.FTSE,4/22/2014,6681.76
,.FTSE,4/23/2014,6674.74
,.FTSE,4/24/2014,6703
,.FTSE,4/25/2014,6685.69
,.FTSE,4/28/2014,6700.16
,.FTSE,4/29/2014,6769.91
,.FTSE,4/30/2014,6780.03
,.FTSE,5/1/2014,6808.87
,.FTSE,5/2/2014,6822.42
,.FTSE,5/6/2014,6798.56
,.FTSE,5/7/2014,6796.44
,.FTSE,5/8/2014,6839.25
,.FTSE,5/9/2014,6814.57
,.FTSE,5/12/2014,6851.75
,.FTSE,5/13/2014,6873.08
,.FTSE,5/14/2014,6878.49
,.FTSE,5/15/2014,6840.89
,.FTSE,5/16/2014,6855.81
,.FTSE,5/19/2014,6844.55
,.FTSE,5/20/2014,6802
,.FTSE,5/21/2014,6821.04
,.FTSE,5/22/2014,6820.56
,.FTSE,5/23/2014,6815.75
,.FTSE,5/27/2014,6844.94
,.FTSE,5/28/2014,6851.22
,.FTSE,5/29/2014,6871.29
,.FTSE,5/30/2014,6844.51
,.FTSE,6/2/2014,6864.1
,.FTSE,6/3/2014,6836.3
,.FTSE,6/4/2014,6818.63
,.FTSE,6/5/2014,6813.49
,.FTSE,6/6/2014,6858.21
,.FTSE,6/9/2014,6875
,.FTSE,6/10/2014,6873.55
,.FTSE,6/11/2014,6838.87
,.FTSE,6/12/2014,6843.11
,.FTSE,6/13/2014,6777.85
,.FTSE,6/16/2014,6754.64
,.FTSE,6/17/2014,6766.77
,.FTSE,6/18/2014,6778.56
,.FTSE,6/19/2014,6808.11
,.FTSE,6/20/2014,6825.2
,.FTSE,6/23/2014,6800.56
,.FTSE,6/24/2014,6787.07
,.FTSE,6/25/2014,6733.62
,.FTSE,6/26/2014,6735.12
,.FTSE,6/27/2014,6757.77
,.FTSE,6/30/2014,6743.94
,.FTSE,7/1/2014,6802.92
,.FTSE,7/2/2014,6816.37
,.FTSE,7/3/2014,6865.21
,.FTSE,7/4/2014,6866.05
,.FTSE,7/7/2014,6823.51
,.FTSE,7/8/2014,6738.45
,.FTSE,7/9/2014,6718.04
,.FTSE,7/10/2014,6672.37
,.FTSE,7/11/2014,6690.17
,.FTSE,7/14/2014,6746.14
,.FTSE,7/15/2014,6710.45
,.FTSE,7/16/2014,6784.67
,.FTSE,7/17/2014,6738.32
,.FTSE,7/18/2014,6749.45
,.FTSE,7/21/2014,6728.44
,.FTSE,7/22/2014,6795.34
,.FTSE,7/23/2014,6798.15
,.FTSE,7/24/2014,6821.46
,.FTSE,7/25/2014,6791.55
,.FTSE,7/28/2014,6788.07
,.FTSE,7/29/2014,6807.75
,.FTSE,7/30/2014,6773.44
,.FTSE,7/31/2014,6730.11
,.FTSE,8/1/2014,6679.18
,.FTSE,8/4/2014,6677.52
,.FTSE,8/5/2014,6682.48
,.FTSE,8/6/2014,6636.16
,.FTSE,8/7/2014,6597.37
,.FTSE,8/8/2014,6567.36
,.FTSE,8/11/2014,6632.82
,.FTSE,8/12/2014,6632.42
,.FTSE,8/13/2014,6656.68
,.FTSE,8/14/2014,6685.26
,.FTSE,8/15/2014,6689.08
,.FTSE,8/18/2014,6741.25
,.FTSE,8/19/2014,6779.31
,.FTSE,8/20/2014,6755.48
,.FTSE,8/21/2014,6777.66
,.FTSE,8/22/2014,6775.25
,.FTSE,8/26/2014,6822.76
,.FTSE,8/27/2014,6830.66
,.FTSE,8/28/2014,6805.8
,.FTSE,8/29/2014,6819.75
,.FTSE,9/1/2014,6825.31
,.FTSE,9/2/2014,6829.17
,.FTSE,9/3/2014,6873.58
,.FTSE,9/4/2014,6877.97
,.FTSE,9/5/2014,6855.1
,.FTSE,9/8/2014,6834.77
,.FTSE,9/9/2014,6829
,.FTSE,9/10/2014,6830.11
,.FTSE,9/11/2014,6799.62
,.FTSE,9/12/2014,6806.96
,.FTSE,9/15/2014,6804.21
,.FTSE,9/16/2014,6792.24
,.FTSE,9/17/2014,6780.9
,.FTSE,9/18/2014,6819.29
,.FTSE,9/19/2014,6837.92
,.FTSE,9/22/2014,6773.63
,.FTSE,9/23/2014,6676.08
,.FTSE,9/24/2014,6706.27
,.FTSE,9/25/2014,6639.71
,.FTSE,9/26/2014,6649.39
,.FTSE,9/29/2014,6646.6
,.FTSE,9/30/2014,6622.72
,.FTSE,10/1/2014,6557.52
,.FTSE,10/2/2014,6446.39
,.FTSE,10/3/2014,6527.91
,.FTSE,10/6/2014,6563.65
,.FTSE,10/7/2014,6495.58
,.FTSE,10/8/2014,6482.24
,.FTSE,10/9/2014,6431.85
,.FTSE,10/10/2014,6339.97
,.FTSE,10/13/2014,6366.24
,.FTSE,10/14/2014,6392.68
,.FTSE,10/15/2014,6211.64
,.FTSE,10/16/2014,6195.91
,.FTSE,10/17/2014,6310.29
,.FTSE,10/20/2014,6267.07
,.FTSE,10/21/2014,6372.33
,.FTSE,10/22/2014,6399.73
,.FTSE,10/23/2014,6419.15
,.FTSE,10/24/2014,6388.73
,.FTSE,10/27/2014,6363.46
,.FTSE,10/28/2014,6402.17
,.FTSE,10/29/2014,6453.87
,.FTSE,10/30/2014,6463.55
,.FTSE,10/31/2014,6546.47
,.FTSE,11/3/2014,6487.97
,.FTSE,11/4/2014,6453.97
,.FTSE,11/5/2014,6539.14
,.FTSE,11/6/2014,6551.15
,.FTSE,11/7/2014,6567.24
,.FTSE,11/10/2014,6611.25
,.FTSE,11/11/2014,6627.4
,.FTSE,11/12/2014,6611.04
,.FTSE,11/13/2014,6635.45
,.FTSE,11/14/2014,6654.37
,.FTSE,11/17/2014,6671.97
,.FTSE,11/18/2014,6709.13
,.FTSE,11/19/2014,6696.6
,.FTSE,11/20/2014,6678.9
,.FTSE,11/21/2014,6750.76
,.FTSE,11/24/2014,6729.79
,.FTSE,11/25/2014,6731.14
,.FTSE,11/26/2014,6729.17
,.FTSE,11/27/2014,6723.42
,.FTSE,11/28/2014,6722.62
,.FTSE,12/1/2014,6656.37
,.FTSE,12/2/2014,6742.1
,.FTSE,12/3/2014,6716.63
,.FTSE,12/4/2014,6679.37
,.FTSE,12/5/2014,6742.84
,.FTSE,12/8/2014,6672.15
,.FTSE,12/9/2014,6529.47
,.FTSE,12/10/2014,6500.04
,.FTSE,12/11/2014,6461.7
,.FTSE,12/12/2014,6300.63
,.FTSE,12/15/2014,6182.72
,.FTSE,12/16/2014,6331.83
,.FTSE,12/17/2014,6336.48
,.FTSE,12/18/2014,6466
,.FTSE,12/19/2014,6545.27
,.FTSE,12/22/2014,6576.74
,.FTSE,12/23/2014,6598.18
,.FTSE,12/24/2014,6609.93
,.FTSE,12/29/2014,6633.51
,.FTSE,12/30/2014,6547
,.FTSE,12/31/2014,6566.09
,.FTSE,1/2/2015,6547.8
,.FTSE,1/5/2015,6417.16
,.FTSE,1/6/2015,6366.51
,.FTSE,1/7/2015,6419.83
,.FTSE,1/8/2015,6569.96
,.FTSE,1/9/2015,6501.14
,.FTSE,1/12/2015,6501.42
,.FTSE,1/13/2015,6542.2
,.FTSE,1/14/2015,6388.46
,.FTSE,1/15/2015,6498.78
,.FTSE,1/16/2015,6550.27
,.FTSE,1/19/2015,6585.53
,.FTSE,1/20/2015,6620.1
,.FTSE,1/21/2015,6728.04
,.FTSE,1/22/2015,6796.63
,.FTSE,1/23/2015,6832.83
,.FTSE,1/26/2015,6852.4
,.FTSE,1/27/2015,6811.61
,.FTSE,1/28/2015,6825.94
,.FTSE,1/29/2015,6810.6
,.FTSE,1/30/2015,6749.4
,.FTSE,2/2/2015,6782.55
,.FTSE,2/3/2015,6871.8
,.FTSE,2/4/2015,6860.02
,.FTSE,2/5/2015,6865.93
,.FTSE,2/6/2015,6853.44
,.FTSE,2/9/2015,6837.15
,.FTSE,2/10/2015,6829.12
,.FTSE,2/11/2015,6818.17
,.FTSE,2/12/2015,6828.11
,.FTSE,2/13/2015,6873.52
,.FTSE,2/16/2015,6857.05
,.FTSE,2/17/2015,6898.13
,.FTSE,2/18/2015,6898.08
,.FTSE,2/19/2015,6888.9
,.FTSE,2/20/2015,6915.2
,.FTSE,2/23/2015,6912.16
,.FTSE,2/24/2015,6949.63
,.FTSE,2/25/2015,6935.38
,.FTSE,2/26/2015,6949.73
,.FTSE,2/27/2015,6946.66
,.FTSE,3/2/2015,6940.64
,.FTSE,3/3/2015,6889.13
,.FTSE,3/4/2015,6919.24
,.FTSE,3/5/2015,6961.14
,.FTSE,3/6/2015,6911.8
,.FTSE,3/9/2015,6876.47
,.FTSE,3/10/2015,6702.84
,.FTSE,3/11/2015,6721.51
,.FTSE,3/12/2015,6761.07
,.FTSE,3/13/2015,6740.58
,.FTSE,3/16/2015,6804.08
,.FTSE,3/17/2015,6837.61
,.FTSE,3/18/2015,6945.2
,.FTSE,3/19/2015,6962.32
,.FTSE,3/20/2015,7022.51
,.FTSE,3/23/2015,7037.67
,.FTSE,3/24/2015,7019.68
,.FTSE,3/25/2015,6990.97
,.FTSE,3/26/2015,6895.33
,.FTSE,3/27/2015,6855.02
,.FTSE,3/30/2015,6891.43
,.FTSE,3/31/2015,6773.04
,.FTSE,4/1/2015,6809.5
,.FTSE,4/2/2015,6833.46
,.FTSE,4/7/2015,6961.77
,.FTSE,4/8/2015,6937.41
,.FTSE,4/9/2015,7015.36
,.FTSE,4/10/2015,7089.77
,.FTSE,4/13/2015,7064.3
,.FTSE,4/14/2015,7075.26
,.FTSE,4/15/2015,7096.78
,.FTSE,4/16/2015,7060.45
,.FTSE,4/17/2015,6994.63
,.FTSE,4/20/2015,7052.13
,.FTSE,4/21/2015,7062.93
,.FTSE,4/22/2015,7028.24
,.FTSE,4/23/2015,7053.67
,.FTSE,4/24/2015,7070.7
,.FTSE,4/27/2015,7103.98
,.FTSE,4/28/2015,7030.53
,.FTSE,4/29/2015,6946.28
,.FTSE,4/30/2015,6960.63
,.FTSE,5/1/2015,6985.95
,.FTSE,5/5/2015,6927.58
,.FTSE,5/6/2015,6933.74
,.FTSE,5/7/2015,6886.95
,.FTSE,5/8/2015,7046.82
,.FTSE,5/11/2015,7029.85
,.FTSE,5/12/2015,6933.8
,.FTSE,5/13/2015,6949.63
,.FTSE,5/14/2015,6973.04
,.FTSE,5/15/2015,6960.49
,.FTSE,5/18/2015,6968.87
,.FTSE,5/19/2015,6995.1
,.FTSE,5/20/2015,7007.26
,.FTSE,5/21/2015,7013.47
,.FTSE,5/22/2015,7031.72
,.FTSE,5/26/2015,6948.99
,.FTSE,5/27/2015,7033.33
,.FTSE,5/28/2015,7040.92
,.FTSE,5/29/2015,6984.43
,.FTSE,6/1/2015,6953.58
,.FTSE,6/2/2015,6928.27
,.FTSE,6/3/2015,6950.46
,.FTSE,6/4/2015,6859.24
,.FTSE,6/5/2015,6804.6
,.FTSE,6/8/2015,6790.04
,.FTSE,6/9/2015,6753.8
,.FTSE,6/10/2015,6830.27
,.FTSE,6/11/2015,6846.74
,.FTSE,6/12/2015,6784.92
,.FTSE,6/15/2015,6710.52
,.FTSE,6/16/2015,6710.1
,.FTSE,6/17/2015,6680.55
,.FTSE,6/18/2015,6707.88
,.FTSE,6/19/2015,6710.45
,.FTSE,6/22/2015,6825.67
,.FTSE,6/23/2015,6834.87
,.FTSE,6/24/2015,6844.8
,.FTSE,6/25/2015,6807.82
,.FTSE,6/26/2015,6753.7
,.FTSE,6/29/2015,6620.48
,.FTSE,6/30/2015,6520.98
,.FTSE,7/1/2015,6608.59
,.FTSE,7/2/2015,6630.47
,.FTSE,7/3/2015,6585.78
,.FTSE,7/6/2015,6535.68
,.FTSE,7/7/2015,6432.21
,.FTSE,7/8/2015,6490.7
,.FTSE,7/9/2015,6581.63
,.FTSE,7/10/2015,6673.38
,.FTSE,7/13/2015,6737.95
,.FTSE,7/14/2015,6753.75
,.FTSE,7/15/2015,6753.75
,.FTSE,7/16/2015,6796.45
,.FTSE,7/17/2015,6775.08
,.FTSE,7/20/2015,6788.69
,.FTSE,7/21/2015,6769.07
,.FTSE,7/22/2015,6667.34
,.FTSE,7/23/2015,6655.01
,.FTSE,7/24/2015,6579.81
,.FTSE,7/27/2015,6505.13
,.FTSE,7/28/2015,6555.28
,.FTSE,7/29/2015,6631
,.FTSE,7/30/2015,6668.87
,.FTSE,7/31/2015,6696.28
,.FTSE,8/3/2015,6688.62
,.FTSE,8/4/2015,6686.57
,.FTSE,8/5/2015,6752.41
,.FTSE,8/6/2015,6747.09
,.FTSE,8/7/2015,6718.49
,.FTSE,8/10/2015,6736.22
,.FTSE,8/11/2015,6664.54
,.FTSE,8/12/2015,6571.19
,.FTSE,8/13/2015,6568.33
,.FTSE,8/14/2015,6550.74
,.FTSE,8/17/2015,6550.3
,.FTSE,8/18/2015,6526.29
,.FTSE,8/19/2015,6403.45
,.FTSE,8/20/2015,6367.89
,.FTSE,8/21/2015,6187.65
,.FTSE,8/24/2015,5898.87
,.FTSE,8/25/2015,6081.34
,.FTSE,8/26/2015,5979.2
,.FTSE,8/27/2015,6192.03
,.FTSE,8/28/2015,6247.94
,.FTSE,9/1/2015,6058.54
,.FTSE,9/2/2015,6083.31
,.FTSE,9/3/2015,6194.1
